cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
1,-0.269275,32.309685,0,7,2.635,3.5228,1,1,1.1944,0,256,0.0,0,101
2,0.333188,32.570656,1,4,9.9374,2.955,1,2,1.1944,40,256,0.15625,14,124
3,0.313045,32.569145,1,6,3.3303,2.748,0,0,1.1944,63,256,0.24609,25,76
4,0.303096,32.573345,1,2,6.717,2.3436,1,1,1.1944,20,256,0.07812,7,95
5,0.345753,32.546299,1,5,4.2244,2.0568,1,2,1.1944,76,256,0.29688,20,69
6,0.378049,32.594128,1,3,5.5106,4.742,1,1,1.1944,122,256,0.47656,78,115
7,0.371429,32.56506,1,5,6.852,5.4249,1,2,1.1944,68,256,0.26562,36,112
8,0.365141,32.597015,1,6,9.639,4.312,1,2,1.1944,123,256,0.48047,150,266
9,0.442533,32.735664,1,5,5.0271,1.6015,1,1,1.1944,0,256,0.0,0,19
10,0.362534,32.574726,1,1,5.3257,4.5387,1,1,1.1944,219,256,0.85547,207,214
11,0.345998,32.583225,1,4,4.9283,5.8395,1,3,1.1944,141,256,0.55078,50,126
12,0.282045,32.616669,1,7,4.7337,4.1024,1,3,1.1944,227,256,0.88672,144,162
13,0.314343,32.597195,1,6,3.4539,3.4115,1,4,1.1944,88,256,0.34375,73,127
14,0.303221,32.619747,1,7,3.7943,4.1148,1,2,1.1944,188,256,0.73438,47,59
15,0.292107,32.573128,1,8,3.4685,4.5977,1,2,1.1944,13,256,0.05078,0,51
16,0.305778,32.592979,1,6,5.9202,2.5149,1,2,1.1944,74,256,0.28906,16,66
17,0.273187,32.624809,1,10,5.1722,3.8593,1,1,1.1944,240,256,0.9375,154,161
18,0.295155,32.5854,1,4,6.7387,2.4838,1,2,1.1944,33,256,0.12891,15,73
19,0.326507,32.579437,1,5,4.3936,6.3615,1,2,1.1944,99,256,0.38672,54,108
20,0.344782,32.587532,1,6,5.7841,7.0541,1,1,1.1944,226,256,0.88281,63,68
21,0.36772,32.623959,1,4,7.7478,7.1916,0,0,1.1944,142,256,0.55469,217,270
22,0.368404,32.590256,1,7,6.6145,7.4207,1,2,1.1944,112,256,0.4375,229,382
23,0.328185,32.634068,1,5,2.1647,5.792,1,1,1.1944,222,256,0.86719,100,108
24,0.321928,32.638088,1,2,3.2415,3.4139,0,0,1.1944,252,256,0.98438,140,142
25,0.357207,32.760254,1,5,3.8606,6.0476,1,2,1.1944,120,256,0.46875,72,164
26,0.305941,32.529144,1,6,3.9887,3.8668,0,0,1.1944,91,256,0.35547,97,134
27,0.28986,32.553036,1,3,14.8885,2.4408,1,1,1.1944,55,256,0.21484,14,99
28,0.356767,32.557106,1,5,4.0578,5.2541,1,2,1.1944,170,256,0.66406,84,94
29,0.33075,32.542141,1,5,7.467,6.0867,0,0,1.1944,122,256,0.47656,281,310
30,0.289792,32.535381,1,1,8.7631,3.7265,1,2,1.1944,76,256,0.29688,11,34
31,0.279319,32.566051,1,2,9.2917,6.7872,1,3,1.1944,118,256,0.46094,27,44
32,0.332453,32.54237,1,3,5.0882,5.984,1,1,1.1944,93,256,0.36328,193,313
33,0.317143,32.537323,1,2,1.5498,7.1106,1,1,1.1944,163,256,0.63672,33,57
34,0.30461,32.543774,1,5,2.037,5.921,1,2,1.1944,92,256,0.35938,33,65
35,0.779908,31.916332,0,11,1.5452,1.893,1,1,1.1944,0,256,0.0,0,40
36,0.918976,31.593861,0,10,1.7218,1.8619,1,1,1.1944,0,256,0.0,0,25
37,0.696446,32.528904,1,8,2.7984,2.4033,0,0,1.1944,29,256,0.11328,25,57
38,0.577704,32.647255,0,10,2.6877,2.8288,0,0,1.1944,29,256,0.11328,40,78
39,0.574401,32.661385,0,16,3.271,2.5077,1,1,1.1944,58,256,0.22656,19,61
40,0.76374,32.522327,0,13,2.6079,2.3451,0,0,1.1944,6,256,0.02344,0,15
41,0.664485,32.330688,0,8,1.759,1.7222,0,0,1.1944,0,256,0.0,0,19
42,0.998287,32.195297,0,8,1.5932,1.5618,1,1,1.1944,4,256,0.01562,2,16
43,-0.343147,31.725313,1,5,10.8607,4.1755,1,1,1.1944,124,256,0.48438,538,647
44,-0.142148,31.879677,1,4,3.0545,3.2758,1,2,1.1944,106,256,0.41406,165,201
45,-0.061786,31.72753,0,11,1.6669,2.4055,1,1,1.1944,14,256,0.05469,5,25
46,-0.243158,31.65519,0,10,2.0194,2.0136,1,1,1.1944,0,256,0.0,0,34
47,-0.347627,31.587099,0,10,2.0438,2.612,1,2,1.1944,1,256,0.00391,0,51
48,-0.4712,31.363787,0,11,1.8168,2.5932,1,3,1.1944,9,256,0.03516,0,3
49,-0.522386,31.355343,0,11,1.7237,3.3375,1,1,1.1944,40,256,0.15625,0,3
50,-0.576782,31.691637,0,8,2.003,2.0336,1,1,1.1944,0,256,0.0,0,5
51,-0.229498,31.908571,0,11,1.8615,2.3614,1,1,1.1944,0,256,0.0,0,2
52,-0.023711,31.800507,0,9,2.21,2.0461,1,1,1.1944,5,256,0.01953,0,5
53,-0.024848,31.833431,0,12,2.1667,2.5391,1,1,1.1944,24,256,0.09375,1,8
54,0.127259,31.835865,0,13,2.3927,2.9402,1,2,1.1944,0,256,0.0,0,3
55,0.256142,31.775686,0,12,1.7907,2.6426,1,1,1.1944,0,256,0.0,0,31
56,0.07161,32.092873,0,11,2.7383,1.6919,1,1,1.1944,0,256,0.0,0,11
57,0.196654,32.25523,0,8,2.0947,2.1248,1,4,1.1944,2,256,0.00781,0,55
58,0.572729,31.390442,1,9,5.8977,5.7965,0,0,1.1944,170,256,0.66406,396,426
